Model,Train ratio,Number of Samples,Evaluation Samples,Coefficient of Determination (R2),Mean Squared Error
RF,0.7,5813,2492,0.9041790926969109,585.7810016021822
XGB,0.7,5813,2492,0.6408600211143494,2195.526611328125
NN,0.7,5813,2492,0.17255616188049316,5058.404296875
RF,0.7,5813,2492,0.7115672432614997,1740.698901529371
XGB,0.7,5813,2492,0.6981639862060547,1821.587890625
NN,0.7,5813,2492,0.19253194332122803,4873.08984375
RF,0.7,5813,2492,0.9711821802827775,142.84942561699745
XGB,0.7,5813,2492,0.8517504334449768,734.87060546875
NN,0.7,5813,2492,0.199723482131958,3966.95654296875
RF,0.7,5813,2492,0.8008057615476809,1199.3669918124883
XGB,0.7,5813,2492,0.6442898511886597,2141.763916015625
NN,0.7,5813,2492,0.16982460021972656,4998.5634765625
RF,0.7,5813,2492,0.7742715680346036,612.1963018876314
XGB,0.7,5813,2492,0.5557852387428284,1204.7513427734375
NN,0.7,5813,2492,0.29843831062316895,1902.6998291015625
RF,0.7,5813,2492,0.8780347760344918,865.4037292965335
XGB,0.7,5813,2492,0.7842493057250977,1530.85791015625
NN,0.7,5813,2492,0.1519365906715393,6017.4306640625
RF,0.7,5813,2492,0.9598868369849121,200.51251342223688
XGB,0.7,5813,2492,0.970831036567688,145.80599975585938
NN,0.7,5813,2492,0.2187098264694214,3905.412841796875
RF,0.7,5813,2492,0.8656818127534788,670.1974823054135
XGB,0.7,5813,2492,0.4843876361846924,2572.712646484375
NN,0.7,5813,2492,0.22134143114089966,3885.214599609375
RF,0.7,5813,2492,0.9806409542326062,95.75920492111352
XGB,0.7,5813,2492,0.1960274577140808,3976.836669921875
NN,0.7,5813,2492,0.2005736231803894,3954.34912109375
RF,0.7,5813,2492,0.7920995094906749,1917.7638312132774
XGB,0.7,5813,2492,0.7525067329406738,2282.984375
NN,0.7,5813,2492,0.11268031597137451,8185.01904296875
RF,0.7,5813,2492,0.8144608079129909,1130.4264998028427
XGB,0.7,5813,2492,0.6377236843109131,2207.224609375
NN,0.7,5813,2492,0.18965274095535278,4937.1669921875
RF,0.7,5813,2492,0.7895988449705829,1494.6480302428076
XGB,0.7,5813,2492,0.7371436357498169,1867.279541015625
NN,0.7,5813,2492,0.1553005576133728,6000.57666015625
RF,0.7,5813,2492,0.8596380178098821,538.5878752036361
XGB,0.7,5813,2492,0.7768847346305847,856.1234130859375
NN,0.7,5813,2492,0.24458295106887817,2898.636962890625
RF,0.7,5813,2492,0.9739000181863132,71.67394736937923
XGB,0.7,5813,2492,0.5259609222412109,1301.7730712890625
NN,0.7,5813,2492,0.2992781400680542,1924.2734375
RF,0.7,5813,2492,0.9801625488449407,121.38284432311733
XGB,0.7,5813,2492,0.9027300477027893,595.1824340820312
NN,0.7,5813,2492,0.15670382976531982,5160.021484375
RF,0.7,5813,2492,0.8577537512930369,847.1751401082214
XGB,0.7,5813,2492,0.4943099617958069,3011.735107421875
NN,0.7,5813,2492,0.18998807668685913,4824.18359375
RF,0.7,5813,2492,0.8576729690171871,701.1056392881985
XGB,0.7,5813,2492,0.7580534219741821,1191.8331298828125
NN,0.7,5813,2492,0.1856284737586975,4011.609130859375
RF,0.7,5813,2492,0.9824425455722475,86.81330738282037
XGB,0.7,5813,2492,0.9634885191917419,180.531982421875
NN,0.7,5813,2492,0.19316822290420532,3989.4013671875
RF,0.7,5813,2492,0.7348998949646252,1328.3634333975845
XGB,0.7,5813,2492,0.15461087226867676,4236.07568359375
NN,0.7,5813,2492,0.19956248998641968,4010.831787109375
RF,0.7,5813,2492,0.8381860616237183,629.8833202521706
XGB,0.7,5813,2492,0.7519249320030212,965.6668090820312
NN,0.7,5813,2492,0.22271955013275146,3025.6728515625
RF,0.8,6644,1661,0.8288599961510834,867.7968530303184
XGB,0.8,6644,1661,0.6955975294113159,1543.528564453125
NN,0.8,6644,1661,0.20344829559326172,4039.06201171875
RF,0.8,6644,1661,0.9839946317027239,105.44177872761585
XGB,0.8,6644,1661,0.9840789437294006,104.88642120361328
NN,0.8,6644,1661,0.18031924962997437,5399.97509765625
RF,0.8,6644,1661,0.6729855185260221,1573.0892323109092
XGB,0.8,6644,1661,0.6504732370376587,1681.3836669921875
NN,0.8,6644,1661,0.24222618341445923,3645.23876953125
RF,0.8,6644,1661,0.7214235091504474,3215.521806153129
XGB,0.8,6644,1661,0.70915687084198,3357.111328125
NN,0.8,6644,1661,0.09891664981842041,10400.9248046875
RF,0.8,6644,1661,0.9854241402402623,71.99242764486992
XGB,0.8,6644,1661,0.7159959077835083,1402.73974609375
NN,0.8,6644,1661,0.19780027866363525,3962.188232421875
RF,0.8,6644,1661,0.9750087605625508,78.4011627926789
XGB,0.8,6644,1661,0.9693657159805298,96.10424041748047
NN,0.8,6644,1661,0.32181376218795776,2127.5693359375
RF,0.8,6644,1661,0.8793966118452405,601.7576512718484
XGB,0.8,6644,1661,0.7674171328544617,1160.48583984375
NN,0.8,6644,1661,0.20731788873672485,3955.134033203125
RF,0.8,6644,1661,0.9654178505003581,229.45522130018378
XGB,0.8,6644,1661,0.9771207571029663,151.80564880371094
NN,0.8,6644,1661,0.1704803705215454,5503.9267578125
RF,0.8,6644,1661,0.9300849118545763,692.1640587917603
XGB,0.8,6644,1661,0.9678811430931091,317.97894287109375
NN,0.8,6644,1661,0.11583530902862549,8753.2900390625
RF,0.8,6644,1661,0.9868577952011439,86.01206833812371
XGB,0.8,6644,1661,0.929800271987915,459.4375305175781
NN,0.8,6644,1661,0.12553751468658447,5723.11376953125
RF,0.8,6644,1661,0.7803530063333701,1767.9218928304358
XGB,0.8,6644,1661,0.6315523982048035,2965.6064453125
NN,0.8,6644,1661,0.14530330896377563,6879.38818359375
RF,0.8,6644,1661,0.8901222063035845,729.1540212445675
XGB,0.8,6644,1661,0.678644597530365,2132.52880859375
NN,0.8,6644,1661,0.16430717706680298,5545.6953125
RF,0.8,6644,1661,0.8447244506796713,1521.5290000674659
XGB,0.8,6644,1661,0.7217188477516174,2726.847900390625
NN,0.8,6644,1661,0.1124945878982544,8696.5732421875
RF,0.8,6644,1661,0.6891294545971124,971.5325694053586
XGB,0.8,6644,1661,0.2747902274131775,2266.425048828125
NN,0.8,6644,1661,0.2226279377937317,2429.442626953125
RF,0.8,6644,1661,0.7828982280601811,745.2102317556862
XGB,0.8,6644,1661,0.5078339576721191,1689.3790283203125
NN,0.8,6644,1661,0.2826995253562927,2462.16162109375
RF,0.8,6644,1661,0.8938060144716758,1054.3159950554893
XGB,0.8,6644,1661,0.9694998860359192,302.8111572265625
NN,0.8,6644,1661,0.12967658042907715,8640.7509765625
RF,0.8,6644,1661,0.9677192029380628,163.28665821860608
XGB,0.8,6644,1661,0.8174210786819458,923.5429077148438
NN,0.8,6644,1661,0.1994612216949463,4049.3828125
RF,0.8,6644,1661,0.8041425122563157,1653.217758136528
XGB,0.8,6644,1661,0.8084835410118103,1616.5751953125
NN,0.8,6644,1661,0.1455506682395935,7212.33935546875
RF,0.8,6644,1661,0.987055573612406,64.84897838620576
XGB,0.8,6644,1661,0.9757702350616455,121.38611602783203
NN,0.8,6644,1661,0.18925583362579346,4061.665771484375
RF,0.8,6644,1661,0.9789776576688451,69.71456219800159
XGB,0.8,6644,1661,0.9390138387680054,202.2430419921875
NN,0.8,6644,1661,0.27045321464538574,2419.33251953125
RF,0.9,7474,831,0.966806856920698,57.9380779772746
XGB,0.9,7474,831,0.9511569738388062,85.25472259521484
NN,0.9,7474,831,0.5612759590148926,765.7855224609375
RF,0.9,7474,831,0.9605251829685846,61.597215773622246
XGB,0.9,7474,831,0.9445122480392456,86.5840835571289
NN,0.9,7474,831,0.5750340819358826,663.1243896484375
RF,0.9,7474,831,0.9676099287996018,52.520703676165695
XGB,0.9,7474,831,0.9442840814590454,90.34373474121094
NN,0.9,7474,831,0.6106475591659546,631.3374633789062
RF,0.9,7474,831,0.9859652444112118,68.02015932150753
XGB,0.9,7474,831,0.9354273676872253,312.95465087890625
NN,0.9,7474,831,0.20962989330291748,3830.569091796875
RF,0.9,7474,831,0.9816556898750824,203.3780408078338
XGB,0.9,7474,831,0.8180433511734009,2017.3006591796875
NN,0.9,7474,831,0.10805469751358032,9888.7392578125
RF,0.9,7474,831,0.9869322866671156,64.31181811802811
XGB,0.9,7474,831,0.9806479811668396,95.2396011352539
NN,0.9,7474,831,0.2411491870880127,3734.63037109375
RF,0.9,7474,831,0.9869555198597091,63.387285070359084
XGB,0.9,7474,831,0.9820080995559692,87.42835235595703
NN,0.9,7474,831,0.19581931829452515,3907.770263671875
RF,0.9,7474,831,0.7126884012761068,1430.029998971602
XGB,0.9,7474,831,0.3453606963157654,3258.322509765625
NN,0.9,7474,831,0.23163622617721558,3824.361083984375
RF,0.9,7474,831,0.960681944877851,66.721950219382
XGB,0.9,7474,831,0.9432913661003113,96.23341369628906
NN,0.9,7474,831,0.5651094913482666,738.0004272460938
RF,0.9,7474,831,0.987281852713409,63.40129693474003
XGB,0.9,7474,831,0.9731853604316711,133.6738739013672
NN,0.9,7474,831,0.20854151248931885,3945.50341796875
RF,0.9,7474,831,0.7881974739740905,1747.199832670137
XGB,0.9,7474,831,0.8797969222068787,991.5782470703125
NN,0.9,7474,831,0.1652776598930359,6885.78466796875
RF,0.9,7474,831,0.9892644278105331,52.8789309524676
XGB,0.9,7474,831,0.7497493028640747,1232.6297607421875
NN,0.9,7474,831,0.200700044631958,3937.016357421875
RF,0.9,7474,831,0.6988306607649054,1489.5533670784241
XGB,0.9,7474,831,0.5675191283226013,2139.007080078125
NN,0.9,7474,831,0.21765130758285522,3869.418212890625
RF,0.9,7474,831,0.1566457889970262,1262.7661980580313
XGB,0.9,7474,831,-1.1475133895874023,3215.50244140625
NN,0.9,7474,831,0.3783101439476013,930.8650512695312
RF,0.9,7474,831,0.8974925689934733,176.61021531629797
XGB,0.9,7474,831,0.8111982345581055,325.286865234375
NN,0.9,7474,831,0.5280845761299133,813.0637817382812
RF,0.9,7474,831,0.9131007430929668,458.7699199129126
XGB,0.9,7474,831,0.9436131715774536,297.6847229003906
NN,0.9,7474,831,0.21497642993927002,4144.3994140625
RF,0.9,7474,831,-0.10799623556117544,1833.6603530762825
XGB,0.9,7474,831,-0.2958230972290039,2144.50146484375
NN,0.9,7474,831,0.5314022302627563,775.4983520507812
RF,0.9,7474,831,0.9665988341668389,164.51468803548127
XGB,0.9,7474,831,0.9338647127151489,325.7438659667969
NN,0.9,7474,831,0.19145524501800537,3982.420654296875
RF,0.9,7474,831,0.5811259100271762,2156.1142979343563
XGB,0.9,7474,831,0.43718332052230835,2897.04443359375
NN,0.9,7474,831,0.18287771940231323,4206.05859375
RF,0.9,7474,831,0.8420227333928403,1254.7337974727277
XGB,0.9,7474,831,0.7426995038986206,2043.6083984375
NN,0.9,7474,831,0.15672439336776733,6697.71337890625
